pos,code,region,group
0,10,,SUBCORTICAL
1,11,,SUBCORTICAL
2,12,,SUBCORTICAL
3,13,,SUBCORTICAL
4,17,,SUBCORTICAL
5,18,,SUBCORTICAL
6,26,,SUBCORTICAL
7,49,,SUBCORTICAL
8,50,,SUBCORTICAL
9,51,,SUBCORTICAL
10,52,,SUBCORTICAL
11,53,,SUBCORTICAL
12,54,,SUBCORTICAL
13,58,,SUBCORTICAL
14,101,1,CONT
15,102,1,CONT
16,201,2,VENTATTN
17,202,2,VENTATTN
18,301,3,DEFAULT
19,302,3,DEFAULT
20,401,4,CONT
21,402,4,CONT
22,501,5,DEFAULT
23,502,5,DEFAULT
24,601,6,CONT
25,602,6,CONT
26,701,7,SOMMOT
27,702,7,SOMMOT
28,801,8,LIMBIC
29,802,8,LIMBIC
30,901,9,DEFAULT
31,902,9,DEFAULT
32,1001,10,SOMMOT
33,1002,10,SOMMOT
34,1101,11,DEFAULT
35,1102,11,DEFAULT
36,1201,12,DEFAULT
37,1202,12,DEFAULT
38,1301,13,DORSATTN
39,1302,13,DORSATTN
40,1401,14,LIMBIC
41,1402,14,LIMBIC
42,1501,15,LIMBIC
43,1502,15,LIMBIC
44,1601,16,DORSATTN
45,1602,16,DORSATTN
46,1701,17,SOMMOT
47,1702,17,SOMMOT
48,1801,18,DORSATTN
49,1802,18,DORSATTN
50,1901,19,VENTATTN
51,1902,19,VENTATTN
52,2001,20,CONT
53,2002,20,CONT
54,2101,21,DEFAULT
55,2102,21,DEFAULT
56,2201,22,DORSATTN
57,2202,22,DORSATTN
58,2301,23,VIS
59,2302,23,VIS
60,2401,24,VIS
61,2402,24,VIS
62,2501,25,LIMBIC
63,2502,25,LIMBIC
64,2601,26,SOMMOT
65,2602,26,SOMMOT
66,2701,27,LIMBIC
67,2702,27,LIMBIC
68,2801,28,DEFAULT
69,2802,28,DEFAULT
70,2901,29,VENTATTN
71,2902,29,VENTATTN
72,3001,30,DEFAULT
73,3002,30,DEFAULT
74,3101,31,DEFAULT
75,3102,31,DEFAULT
76,3201,32,VIS
77,3202,32,VIS
78,3301,33,LIMBIC
79,3302,33,LIMBIC
80,3401,34,LIMBIC
81,3402,34,LIMBIC
82,3455,34,LIMBIC
83,3501,35,VIS
84,3502,35,VIS
85,3601,36,VIS
86,3602,36,VIS
87,3701,37,LIMBIC
88,3702,37,LIMBIC
89,3801,38,LIMBIC
90,3802,38,LIMBIC
91,3901,39,VIS
92,3902,39,VIS
93,4001,40,VIS
94,4002,40,VIS
95,4101,41,VENTATTN
96,4102,41,VENTATTN
97,4201,42,SOMMOT
98,4202,42,SOMMOT
99,4301,43,SOMMOT
100,4302,43,SOMMOT
101,4401,44,SOMMOT
102,4402,44,SOMMOT
103,4501,45,SOMMOT
104,4502,45,SOMMOT
105,4601,46,SOMMOT
106,4602,46,SOMMOT
107,4701,47,VIS
108,4702,47,VIS
109,4801,48,VIS
110,4802,48,VIS
